Post ID,Account ID,Account username,Account name,Description,Duration (sec),Publish time,Permalink,Post type,Data comment,Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18038453998842127,17841406860905948,init.fiu,INIT FIU,"🚀 Happy Monday!! Look at what we got in store for you this week 🥳

⭐️ INIT EXPLORE: Detecting Color Using Computer Vision
Tuesday, 3pm - 5pm @ AHC5 201

⭐️ INIT INTERVIEW PREP: Dynamic Programming 
Thursday, 3pm - 5pm @ PG6 115

⭐️ INIT INTERVIEW PREP: Positioning Yourself for Career Success 
Friday, 1pm - 3pm @ PG6 114

⭐️BUILD: Last day to push🚨 
Friday, 1:30pm - 11pm @ PG5 115

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship",0,04/01/2024 11:27,https://www.instagram.com/p/C5OpirbPtXI/,IG image,,Lifetime,,102,32,0,0,0,0
18355040827192016,17841451978606513,init.national,INIT National,"🎄❄️ #merrychristmas & #happyholidays! ❄️🎄

We hope you have a wonderful time celebrating with your family, friends, and loved ones! You’ve worked hard this year and deserve to celebrate your success - we’re proud of your achievements and we hope you are too! 🥳

We look forward to seeing you again in the new year, with more exciting announcements, events, opportunities, and resources to help you launch your career in tech. Until then, stay safe, healthy, and happy! 😁 

Wishing you all the best,

INIT Team

#weareinit #miamitech #miami #diversityintech #technology #tech #instatech #techie #innovation #computerscience #programming #coding #software #webdevelopment #artificialintelligence #metaverse #blockchain #web3 #developer #engineer #college #collegelife #student #career #careergoals #internship #job",0,12/23/2024 09:54,https://www.instagram.com/p/DD7hPHiP4sd/,IG image,,Lifetime,4138,1129,35,0,,0,0
18022157810624774,17841406860905948,init.fiu,INIT FIU,"Be chill and come to DEMO day this Friday…

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech 
#instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",10,12/03/2024 08:35,https://www.instagram.com/reel/DDH4GW3x_D7/,IG reel,,Lifetime,8330,3450,195,22,0,8,4
17883226446174826,17841406860905948,init.fiu,INIT FIU,"🥹 Our very last event of the semester… DEMO DAY ‼️ You won’t want to miss out on our final meeting of the semester where companies like Next Era Energy, UKG, and Assurant will be there 😍

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech 
#instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,12/03/2024 06:50,https://www.instagram.com/p/DDHsPj5RoR6/,IG carousel,,Lifetime,5415,2753,76,16,2,6,3
18052836661961390,17841406860905948,init.fiu,INIT FIU,"Our last week of events starts this Wednesday and you won’t want to miss out on the last few opportunities to connect ‼️ 

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech 
#instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,12/02/2024 07:38,https://www.instagram.com/p/DDFM-DTRuXy/,IG image,,Lifetime,4439,2033,53,9,3,1,7
17894191671030347,17841451978606513,init.national,INIT National,"🦃 Happy Thanksgiving!

As we get together with our families to celebrate gratitude, we want to take a moment to thank you— the students, alumni, partners, and community members at the heart of the INIT community. Your dedication, passion, and drive inspire us every day as we work together to empower people to break into the tech industry.

We’re incredibly thankful to have such an amazing group of individuals shaping our shared vision. Here’s to the incredible growth we’ve seen this year and the exciting developments waiting for us as we expand into more schools, grow our chapters, and bring more opportunities to you!

With gratitude,

The INIT Team 💛",0,11/28/2024 10:20,https://www.instagram.com/p/DC7MSZCPjMb/,IG image,,Lifetime,3594,1133,30,2,,0,0
18047168672078003,17841406860905948,init.fiu,INIT FIU,"▶️ Join us for our intro to web dev workshop series where you’ll learn to showcase your skills and make a site utilizing an NFC-powered portfolio 🤩

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech 
#instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,11/19/2024 11:21,https://www.instagram.com/p/DCkIM4ES71v/,IG carousel,,Lifetime,3817,1650,37,5,2,0,2
18067152256659539,17841406860905948,init.fiu,INIT FIU,"▶️ Join us for an awesome leetcode workshop where you’ll go in depth into graphs! 🤔 Concepts related to graphs show up in interviews such as nodes, edges, cycles and connectivity so you’ll want to attend this session!

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech 
#instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,11/19/2024 07:07,https://www.instagram.com/p/DCjrHKjxdzT/,IG carousel,,Lifetime,2432,947,22,5,0,0,0
17897730486069190,17841406860905948,init.fiu,INIT FIU,"🥳 Join us tomorrow for an amazing workshop on docker containers!

▶️ Learn about containers and how to run your own applications with those containers for every system. Docker is used in a lot of companies so SWE and is important to know about!

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech 
#instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,11/18/2024 07:36,https://www.instagram.com/p/DChJrLKx3YX/,IG carousel,,Lifetime,3199,1360,45,7,0,1,4
18022679927548049,17841406860905948,init.fiu,INIT FIU,"🔍 Check out our workshops and events we will be hosting these next two weeks of the semester 🤩

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech 
#instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,11/18/2024 06:16,https://www.instagram.com/p/DChAcAxRfQG/,IG image,,Lifetime,4775,1591,24,4,0,0,2
