story_id,pull_date,media_type,permalink,timestamp,reach,replies,shares,total_interactions,navigation,nav_swipe_forward,nav_tap_back,nav_tap_forward,nav_tap_exit,follows,profile_visits,profile_activity
18137702902607356,2026-08-16,VIDEO,https://www.instagram.com/stories/init.fiu/3965150528815685893,2026-08-16T17:53:17+0000,177,0,0,1,194,25,7,95,67,,,
18371234518233206,2026-08-18,VIDEO,https://www.instagram.com/stories/init.fiu/3965891830440135199,2026-08-17T18:26:01+0000,344,0,0,3,366,36,6,234,90,,,
18239674063314089,2026-08-31,IMAGE,https://www.instagram.com/stories/init.fiu/3975306588117822030,2026-08-30T18:11:35+0000,321,0,1,1,421,18,57,298,48,,,
17982658776079435,2026-08-31,IMAGE,https://www.instagram.com/stories/init.fiu/3975310515009937628,2026-08-30T18:19:23+0000,309,0,0,2,396,25,61,242,68,,,
17995564785042319,2026-08-31,VIDEO,https://www.instagram.com/stories/init.fiu/3975416460309873793,2026-08-30T21:49:49+0000,275,0,0,3,293,11,35,162,85,,,
18136409092618524,2026-09-03,IMAGE,https://www.instagram.com/stories/init.fiu/3977484093457533166,2026-09-02T18:17:53+0000,307,0,1,1,372,15,43,286,28,,,
18439223716135181,2026-09-03,IMAGE,https://www.instagram.com/stories/init.fiu/3977484220970361143,2026-09-02T18:18:09+0000,294,0,0,0,355,8,34,292,21,,,
18025875725857741,2026-09-03,VIDEO,https://www.instagram.com/stories/init.fiu/3977485972416937974,2026-09-02T18:21:31+0000,292,0,0,1,340,10,30,232,68,,,
18134768794623832,2026-09-03,IMAGE,https://www.instagram.com/stories/init.fiu/3977562356951270180,2026-09-02T20:53:23+0000,335,0,3,7,327,6,21,264,36,,,
17987451513102067,2026-09-03,IMAGE,https://www.instagram.com/stories/init.fiu/3977566789233709479,2026-09-02T21:02:11+0000,260,0,1,1,352,14,68,193,77,,,
18125306501500310,2026-09-03,IMAGE,https://www.instagram.com/stories/init.fiu/3978061355957204833,2026-09-03T13:24:49+0000,106,0,0,0,116,9,6,69,32,,,
18111402646969547,2026-09-05,IMAGE,https://www.instagram.com/stories/init.fiu/3978880298018056022,2026-09-04T16:31:54+0000,800,0,1,1,381,38,17,256,70,,,
18072538106737575,2026-09-05,IMAGE,https://www.instagram.com/stories/init.fiu/3978926794847535846,2026-09-04T18:04:17+0000,278,0,0,0,348,12,32,279,25,0.0,1.0,0.0
17901021687566775,2026-09-05,IMAGE,https://www.instagram.com/stories/init.fiu/3978926857634129170,2026-09-04T18:04:25+0000,273,0,0,2,328,8,26,271,23,0.0,1.0,0.0
17899425150584762,2026-09-05,IMAGE,https://www.instagram.com/stories/init.fiu/3978926917050658315,2026-09-04T18:04:32+0000,262,0,0,0,339,9,29,271,30,0.0,1.0,2.0
18126825982758535,2026-09-05,IMAGE,https://www.instagram.com/stories/init.fiu/3978927836443858135,2026-09-04T18:06:21+0000,309,0,2,2,341,13,56,185,87,0.0,1.0,1.0
18085567628475580,2026-09-05,VIDEO,https://www.instagram.com/stories/init.fiu/3979608343374371256,2026-09-05T16:38:23+0000,181,0,0,2,212,20,3,118,71,0.0,2.0,0.0
18213595360356044,2026-09-05,IMAGE,https://www.instagram.com/stories/init.fiu/3979659556944500457,2026-09-05T18:20:09+0000,166,0,1,1,152,6,18,72,56,0.0,3.0,0.0
18112899196936302,2026-09-08,IMAGE,https://www.instagram.com/stories/init.fiu/3981089301768841609,2026-09-07T17:40:48+0000,489,2,0,7,551,60,5,384,102,0.0,8.0,2.0
18625178659025522,2026-09-08,IMAGE,https://www.instagram.com/stories/init.fiu/3981185635578294234,2026-09-07T20:52:12+0000,401,0,3,6,490,36,37,325,92,0.0,3.0,0.0
18430013095179525,2026-09-08,IMAGE,https://www.instagram.com/stories/init.fiu/3981208525497535706,2026-09-07T21:37:41+0000,983,0,2,3,448,34,80,214,120,0.0,2.0,0.0
18059499134532279,2026-09-08,IMAGE,https://www.instagram.com/stories/init.fiu/3981687930007151085,2026-09-08T13:30:10+0000,153,0,0,0,201,14,11,139,37,0.0,5.0,0.0
18016953806728068,2026-09-08,IMAGE,https://www.instagram.com/stories/init.fiu/3981688945775257888,2026-09-08T13:32:11+0000,139,0,0,0,187,5,46,87,49,0.0,0.0,0.0
17957230308011481,2026-09-09,VIDEO,https://www.instagram.com/stories/init.fiu/3981829753450714970,2026-09-08T18:11:20+0000,402,0,1,5,357,20,34,182,121,0.0,6.0,2.0
17944255599309682,2026-09-09,IMAGE,https://www.instagram.com/stories/init.fiu/3982404090774251549,2026-09-09T13:13:03+0000,137,0,0,1,133,7,1,74,51,0.0,0.0,0.0
