"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Reach,Likes,Shares,Follows,Comments,Saves,Views
18038453998842127,17841406860905948,init.fiu,"INIT FIU","🚀 Happy Monday!! Look at what we got in store for you this week 🥳

⭐️ INIT EXPLORE: Detecting Color Using Computer Vision
Tuesday, 3pm - 5pm @ AHC5 201

⭐️ INIT INTERVIEW PREP: Dynamic Programming 
Thursday, 3pm - 5pm @ PG6 115

⭐️ INIT INTERVIEW PREP: Positioning Yourself for Career Success 
Friday, 1pm - 3pm @ PG6 114

⭐️BUILD: Last day to push🚨 
Friday, 1:30pm - 11pm @ PG5 115

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship",0,"04/01/2024 11:27",https://www.instagram.com/p/C5OpirbPtXI/,"IG image",,Lifetime,102,32,0,0,0,0,
18355040827192016,17841451978606513,init.national,"INIT National","🎄❄️ #merrychristmas & #happyholidays! ❄️🎄

We hope you have a wonderful time celebrating with your family, friends, and loved ones! You’ve worked hard this year and deserve to celebrate your success - we’re proud of your achievements and we hope you are too! 🥳

We look forward to seeing you again in the new year, with more exciting announcements, events, opportunities, and resources to help you launch your career in tech. Until then, stay safe, healthy, and happy! 😁 

Wishing you all the best,

INIT Team

#weareinit #miamitech #miami #diversityintech #technology #tech #instatech #techie #innovation #computerscience #programming #coding #software #webdevelopment #artificialintelligence #metaverse #blockchain #web3 #developer #engineer #college #collegelife #student #career #careergoals #internship #job",0,"12/23/2024 09:54",https://www.instagram.com/p/DD7hPHiP4sd/,"IG image",,Lifetime,1129,35,0,,0,0,4138
18022157810624774,17841406860905948,init.fiu,"INIT FIU","Be chill and come to DEMO day this Friday…

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech 
#instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",10,"12/03/2024 08:35",https://www.instagram.com/reel/DDH4GW3x_D7/,"IG reel",,Lifetime,3450,195,22,0,8,4,8330
17883226446174826,17841406860905948,init.fiu,"INIT FIU","🥹 Our very last event of the semester… DEMO DAY ‼️ You won’t want to miss out on our final meeting of the semester where companies like Next Era Energy, UKG, and Assurant will be there 😍

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech 
#instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"12/03/2024 06:50",https://www.instagram.com/p/DDHsPj5RoR6/,"IG carousel",,Lifetime,2753,76,16,2,6,3,5415
18052836661961390,17841406860905948,init.fiu,"INIT FIU","Our last week of events starts this Wednesday and you won’t want to miss out on the last few opportunities to connect ‼️ 

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech 
#instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"12/02/2024 07:38",https://www.instagram.com/p/DDFM-DTRuXy/,"IG image",,Lifetime,2033,53,9,3,1,7,4439
17894191671030347,17841451978606513,init.national,"INIT National","🦃 Happy Thanksgiving!

As we get together with our families to celebrate gratitude, we want to take a moment to thank you— the students, alumni, partners, and community members at the heart of the INIT community. Your dedication, passion, and drive inspire us every day as we work together to empower people to break into the tech industry.

We’re incredibly thankful to have such an amazing group of individuals shaping our shared vision. Here’s to the incredible growth we’ve seen this year and the exciting developments waiting for us as we expand into more schools, grow our chapters, and bring more opportunities to you!

With gratitude,

The INIT Team 💛",0,"11/28/2024 10:20",https://www.instagram.com/p/DC7MSZCPjMb/,"IG image",,Lifetime,1133,30,2,,0,0,3594
18047168672078003,17841406860905948,init.fiu,"INIT FIU","▶️ Join us for our intro to web dev workshop series where you’ll learn to showcase your skills and make a site utilizing an NFC-powered portfolio 🤩

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech 
#instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"11/19/2024 11:21",https://www.instagram.com/p/DCkIM4ES71v/,"IG carousel",,Lifetime,1650,37,5,2,0,2,3817
18067152256659539,17841406860905948,init.fiu,"INIT FIU","▶️ Join us for an awesome leetcode workshop where you’ll go in depth into graphs! 🤔 Concepts related to graphs show up in interviews such as nodes, edges, cycles and connectivity so you’ll want to attend this session!

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech 
#instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"11/19/2024 07:07",https://www.instagram.com/p/DCjrHKjxdzT/,"IG carousel",,Lifetime,947,22,5,0,0,0,2432
17897730486069190,17841406860905948,init.fiu,"INIT FIU","🥳 Join us tomorrow for an amazing workshop on docker containers!

▶️ Learn about containers and how to run your own applications with those containers for every system. Docker is used in a lot of companies so SWE and is important to know about!

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech 
#instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"11/18/2024 07:36",https://www.instagram.com/p/DChJrLKx3YX/,"IG carousel",,Lifetime,1360,45,7,0,1,4,3199
18022679927548049,17841406860905948,init.fiu,"INIT FIU","🔍 Check out our workshops and events we will be hosting these next two weeks of the semester 🤩

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech 
#instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"11/18/2024 06:16",https://www.instagram.com/p/DChAcAxRfQG/,"IG image",,Lifetime,1591,24,4,0,0,2,4775
18253985353257346,17841406860905948,init.fiu,"INIT FIU","Hey everyone! 𝗘-𝗕𝗼𝗮𝗿𝗱 𝗔𝗽𝗽𝗹𝗶𝗰𝗮𝘁𝗶𝗼𝗻𝘀 𝗮𝗿𝗲 𝗢𝗣𝗘𝗡!

We are excited to announce that our Executive Board Positions for the INIT FIU Chapter 2025 are now open! ✨ We can’t wait to meet all the amazing people who will lead the future of this organization in the year to come! 🤩

Join us at INIT FIU if you’re passionate about tech and want to make a real-world impact! 🚀 This is your chance ⭐️

Apply now to be a part of FIU’s largest student-led tech organization!
go.fiu.edu/initeboard
𝘿𝙚𝙖𝙙𝙡𝙞𝙣𝙚: 𝘍𝘳𝘪𝘥𝘢𝘺, 𝘕𝘰𝘷𝘦𝘮𝘣𝘦𝘳 22𝘯𝘥 𝘢𝘵 11:59𝘱𝘮 𝘌𝘚𝘛

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship",0,"11/09/2024 11:17",https://www.instagram.com/p/DCKXuk1vLX1/,"IG carousel",,Lifetime,2071,89,17,1,0,8,5528
18028012313385892,17841406860905948,init.fiu,"INIT FIU","Join us Friday for two workshops 🤩

▶️ The first one will be an Intro to Game Dev: Creating an AI NPC in C# ‼️ Workshop will be @ PG6 112 @ 2pm - 4pm 

▶️ This second workshop will take place right after and will be resume reviews ‼️ Workshop will be @ PG 116 @ 4pm - 6pm

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech 
#instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"11/06/2024 06:10",https://www.instagram.com/p/DCCGSlkxl6c/,"IG carousel",,Lifetime,1081,27,8,2,0,1,2216
17914924811918610,17841406860905948,init.fiu,"INIT FIU","Join us Friday for two workshops 🤩

▶️ The first one will be this Intro to Game Dev: Creating an AI NPC in C# ‼️ Workshop will be @ PG6 112 @ 2pm - 4pm 

▶️ The second workshop will take place right after and will be resume reviews ‼️ Workshop will be @ PG 116 @ 4pm - 6pm

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech 
#instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"11/06/2024 06:06",https://www.instagram.com/p/DCCF0cnRfx1/,"IG carousel",,Lifetime,1041,28,2,0,0,1,2176
17939852312921722,17841406860905948,init.fiu,"INIT FIU","🥳 Here’s is a list view of all of our upcoming event in the next two weeks! We have interview prep and game dev and resume building and more!

🔔 Highlighting on one of our MAJOR events:
next week we have an information session with @microsoft ‼️ Make sure to secure your spot by registering on our Luma page and show up!

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"11/05/2024 17:32",https://www.instagram.com/p/DCAvdcfp-gC/,"IG image",,Lifetime,1487,26,5,0,1,3,3133
17923742768882435,17841406860905948,init.fiu,"INIT FIU","🚨 ALERT 🚨 ALERT 🚨 ALERT 🚨 
🥳 very important event coming up next week with @microsoft ‼️ You won’t want to miss one of our most major events of the year where @microsoft will be coming down to FIU to partner with us in hosting an info session 🤩

▶️ Make sure to RSVP to secure your spot and come to meet recruiters and learn about internships and job opportunities 🥳

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"11/05/2024 17:10",https://www.instagram.com/p/DCAs7Z0PiM4/,"IG image",,Lifetime,2006,31,19,2,0,2,4534
18025569317596021,17841406860905948,init.fiu,"INIT FIU","🔔 Interview Prep: Priority Queues ‼️ 
Thursday, November 7th @ 3:30pm @ PG6 112

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"11/04/2024 05:40",https://www.instagram.com/p/DB85PJOx9Rc/,"IG carousel",,Lifetime,1739,58,17,0,0,4,3380
18045250973009816,17841406860905948,init.fiu,"INIT FIU","🚨 SPECIAL GIVEAWAY 🚨 
We’re giving away AirPods!!!! Make sure to join us today @ 3:30pm @ PG5 155 for spooky 🎃activities in honor of Halloween tomorrow 👻 it’s gonna be awesome!

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",12,"10/30/2024 06:50",https://www.instagram.com/reel/DBwCSGERWvh/,"IG reel",,Lifetime,1110,21,2,0,0,0,1906
18046151666301990,17841406860905948,init.fiu,"INIT FIU","Join us this Wednesday before 🎃 Halloween 👻 to hang out and play Halloween themed games with us! We’re going to have so many fun things for you to do including a special VR game 👀

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"10/28/2024 06:40",https://www.instagram.com/p/DBq3q3bxgig/,"IG image",,Lifetime,1460,53,18,1,0,6,3364
18031741853086368,17841406860905948,init.fiu,"INIT FIU","🤩 Get ready for our Halloween event planned for next week 👻! Details will be out soon 😱

P.S. lover boy from valentines days needs some costume ideas 

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",8,"10/23/2024 06:57",https://www.instagram.com/reel/DBeBgaDRqIU/,"IG reel",,Lifetime,1444,31,2,0,0,1,2600
18052470058924557,17841406860905948,init.fiu,"INIT FIU","😍🙏🏻 Thank you to accenture federal services for working with INIT FIU in our previously held info session with them! 
🧐 The team gave our students an insight into the important challenges Accenture faces and how technology is making an impact!
😊 We were so excited to host them and hope to see more of our members working there in the future!

🥳 Shoutout to the Accenture team: Jessica Brito, Obed Sanchez, Joshua Naraine, and Arnaldo J. Garcia Rivera

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"10/08/2024 10:52",https://www.instagram.com/p/DA30mkbvuQQ/,"IG carousel",,Lifetime,1825,156,11,0,0,2,4123
18072399088603258,17841406860905948,init.fiu,"INIT FIU","Thank you so much for everyone who attended this year’s #Shellahacks ! We’re so grateful for all the hackers, sponsors, mentors, and volunteers for made this event what it was 😍. We hope to see everyone next year 🥳

Photos from ShellHacks 2024: https://www.flickr.com/photos/initfiu/albums/72177720320950620/

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"10/07/2024 07:02",https://www.instagram.com/p/DA01ceHxq8C/,"IG image",,Lifetime,1601,152,2,0,0,1,2989
17928775415945987,17841406860905948,init.fiu,"INIT FIU","caption this",8,"09/28/2024 15:53",https://www.instagram.com/reel/DAenF51Psb3/,"IG reel",,Lifetime,2431,201,13,0,4,3,6187
17923041710859120,17841406860905948,init.fiu,"INIT FIU","😍 Thank you so much to SouthWest for helping fund this year’s #ShellHacks 🥳

We’re so grateful to have them by our side this year and learn lots about their company and opportunities!

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/27/2024 11:00",https://www.instagram.com/p/DAbgv7MPV7a/,"IG image",,Lifetime,1351,31,0,0,0,2,2636
18329413636198126,17841406860905948,init.fiu,"INIT FIU","😍 Thank you so much to @codepathorg for helping fund this year’s #ShellHacks 🥳

We’re so grateful to have them by our side this year and learn lots about their company and opportunities!

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/27/2024 10:00",https://www.instagram.com/p/DAbZ6yQPfJQ/,"IG image",,Lifetime,1232,14,0,0,0,0,2315
18333375775177234,17841406860905948,init.fiu,"INIT FIU","😍 Thank you so much to ETHMiami for helping fund this year’s #ShellHacks 🥳

We’re so grateful to have them by our side this year and learn lots about their company 

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/27/2024 09:00",https://www.instagram.com/p/DAbTFLWvail/,"IG image",,Lifetime,1121,25,1,2,1,2,2169
17983224107726334,17841406860905948,init.fiu,"INIT FIU","😍 Thank you so much to GitHub for helping fund this year’s #ShellHacks 🥳

We’re so grateful to have them by our side this year and learn lots about their company 🤩 Super excited to see what their sponsor challenge is too 👀

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/27/2024 08:00",https://www.instagram.com/p/DAbMIcQvr2L/,"IG image",,Lifetime,1134,30,0,0,0,1,2223
17850320244263737,17841406860905948,init.fiu,"INIT FIU","😍 Thank you so much to GeeksforGeeks for helping fund this year’s #ShellHacks 🥳

We’re so grateful to have them by our side this year and learn lots about their company 🤩

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/27/2024 07:00",https://www.instagram.com/p/DAbFUQ0PvyO/,"IG image",,Lifetime,1136,21,0,0,0,0,2323
18269728327217741,17841406860905948,init.fiu,"INIT FIU","Meet the organizers for #ShellHacks 2024 🥳

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",14,"09/27/2024 06:41",https://www.instagram.com/reel/DAbDCYvxN20/,"IG reel",,Lifetime,4097,287,10,6,4,4,9306
17913498723004589,17841406860905948,init.fiu,"INIT FIU","😍 Thank you so much to Chainguard for helping fund this year’s #ShellHacks 🥳

We’re so grateful to have them by our side this year and learn lots about their company 🤩

#weareinit #hackathon #miamitech #diversityintech #miami #technology #tech #instatech #techie #innovation #computerscience #programming #software #webdevelopment #artificialintelligence #machinelearning #cybersecurity #womenintech #developer #college #collegelife #student #career #careergoals #internship #recruitment #recruiting",0,"09/26/2024 12:40",https://www.instagram.com/p/DAZHcdhPoZA/,"IG image",,Lifetime,792,22,0,0,0,1,1409
